t,x,y
81.6,-0.046469464254422416,-0.02735896323052437
82.3,-0.040290235377756195,-0.054735505022533125
83.0,-0.024025447865362558,-0.07405906414801648
83.7,-0.0040228185133587505,-0.08493373914079491
84.4,0.0036313441431660887,-0.1158906653512446
85.1,0.04323916062798153,-0.1313677536145195
85.8,0.05054572077173837,-0.128372372159404
86.5,0.07353900788272216,-0.1332114320644128
87.2,0.08303109397782142,-0.13891624616140538
87.9,0.08370350234215734,-0.14618013635908572
88.6,0.09104959650637455,-0.1491484876387473
89.3,0.1000604733373078,-0.15300101846243908
90.0,0.0942376083257267,-0.16581396159202985
90.7,0.115075642084965,-0.18392605265807055
91.5,0.12379106790671293,-0.20103230297981803
92.0,0.11290428731528963,-0.23609782517680628
92.2,0.09603685343302831,-0.2831419308606535
92.5,0.07652118913718095,-0.35181364953558425
92.8,0.03541980918727505,-0.42619103424506044
93.0,-0.015430297256161515,-0.4924563694637224
93.2,-0.07228707082563858,-0.5619895446018124
93.4,-0.14188455212597562,-0.6368257362487812
93.6,-0.21237891149941387,-0.706997093165268
93.8,-0.27058591063860177,-0.7529632574663322
94.0,-0.3319691853374393,-0.7992414290072655
94.2,-0.41410168002473113,-0.8529959261536763
94.4,-0.5001616311528347,-0.910425384819389
94.6,-0.572664662800062,-0.9578138100980989
94.8,-0.6431332742582573,-0.997288498602285
95.0,-0.7373077699336014,-1.031952764696419
95.2,-0.8236116339626403,-1.0609371342827862
95.4,-0.9052326309633736,-1.089280462293209
95.6,-0.980108579767567,-1.125752345681025
95.8,-1.0690073132701845,-1.157498899578575
96.0,-1.1434193946784632,-1.1780780500337207
96.2,-1.2311404974141125,-1.1892389949694695
96.4,-1.328590719734799,-1.2018045597910476
96.6,-1.4239356905221252,-1.2178796658729916
96.8,-1.5054457751590524,-1.2279537874775157
97.0,-1.5951211913925267,-1.2376097906396366
97.2,-1.6886178773136316,-1.2446284593451238
97.4,-1.7861446051886825,-1.2496536399501939
97.6,-1.87135733875869,-1.2544318005188626
97.8,-1.9612317755915865,-1.25751384830184
98.0,-2.051120561876009,-1.263647104062551
98.2,-2.1403317900582306,-1.2688605428479152
98.4,-2.2190971952221545,-1.2764705355658255
98.6,-2.3035684347513983,-1.2772728584477424
98.8,-2.389077250337681,-1.2850822244712616
99.0,-2.47358456677243,-1.296723562073938
99.2,-2.5413633449662196,-1.3089059368062683
99.4,-2.6265102138121224,-1.3254073332571783
99.6,-2.6958163677586486,-1.3486126659715758
99.8,-2.7626025148088313,-1.3733169301770614
100.0,-2.8428498992737357,-1.4042517301164659
100.2,-2.9127351124861174,-1.4436813675247429
100.4,-2.981959436109966,-1.4743728670289298
100.6,-3.0483784131278444,-1.5065173771011509
100.8,-3.106034699167233,-1.5421533203380948
101.0,-3.170420642676086,-1.5803121826333855
101.2,-3.227663020886771,-1.6219611296491165
